產業類別,公司代號,公司名稱,員工薪資總額(仟元),員工人數-加權平均(人),員工薪資-平均數(仟元/人),每股盈餘(元/股),同業公司員工薪資-平均數(仟元/人),同業公司平均每股盈餘(元/股),非經理人之全時員工薪資平均數未達50萬元,公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少,公司經營績效與員工薪酬之關聯性及合理性說明
金融保險業,2852,第一保,"818,352",801,"1,022",1.63,"1,155",1.65,,,,
塑膠工業,1304,台聚,"471,339",462,"1,020",0.5,"1,249",5.5,,,,公司員工的薪酬包含按月發給之薪資、結算生產績效發給之獎金，以及分派每一年度盈餘所發放之員工酬勞。依據營運成果並參考國內業界發放水平，決定員工獎金分配方式；每位員工獲派的金額，依貢獻、績效表現而定。
鋼鐵工業,2015,豐興鋼鐵,"839,619",824,"1,019",5.06,"1,115",1.57,,V,,"本公司107年每股盈餘(元)5.06元較106年4.69增加，107年非擔任主管職務之全時員工薪資-平均數1,019(仟元/人)較106年958(仟元/人)增加，員工薪酬與公司經營績效成正比。"
紡織纖維,1416,廣豐,"11,212",11,"1,019",1.35,637,1.5,,,,
電子零組件業,2392,正崴,"757,770",744,"1,019",1.2,785,5.37,,,,
資訊服務業,2471,資通,"263,458",259,"1,017",1.21,879,2.13,,,,
航運業,2208,台船公司,"2,930,902","2,886","1,016",-8.87,"1,149",0.62,,,,
塑膠工業,1309,台達化工,"414,307",408,"1,015",0.63,"1,249",5.5,,,,依公司經營績效及個人績效發放獎金及調整薪資。
汽車工業,2201,裕隆汽車,"1,091,893","1,086","1,005",1.39,707,5.02,,,,
貿易百貨,2614,東森,"250,725",250,"1,003",1.74,788,3.29,,,,
通信網路業,3704,合勤控,"1,682,526","1,677","1,003",-1.38,"1,123",2.93,,,,
金融保險業,2884,玉山金控,"7,618,090","7,604","1,002",1.58,"1,155",1.65,,,,
半導體業,8261,富鼎,"120,270",120,"1,002",2.04,"1,228",7.24,,,,
電腦及週邊設備業,2395,研華,"2,907,564","2,905","1,001",9.02,"1,200",2.73,,V,,"本公司薪酬結構除本薪,另有績效獎金、員工分紅及發行員工股票選擇權,將公司經營績效與員工薪酬緊密連結. 本公司在臺灣設有生產基地,占全球產能一半,共有2,913位員工,其中38%服務於製造體系,反映於公司平均薪資上."
電子零組件業,4989,榮科,"208,298",208,"1,001",1.88,785,5.37,,,,
光電業,6120,達運,"931,937",931,"1,001",0.48,816,1.04,,,,
電腦及週邊設備業,3057,喬鼎資訊,"258,928",259,"1,000",-0.4,"1,200",2.73,,,,
油電燃氣業,9908,大台北,"259,233",260,997,1.32,"1,170",5.48,,,,
其他電子業,6283,淳安電子,"44,814",45,996,0.19,"1,179",7.41,,,,
其他,9941,裕融企業,"535,640",538,996,9.27,780,3.69,,,,
鋼鐵工業,2029,盛餘,"546,759",550,994,0.33,"1,115",1.57,,,,
航運業,2609,陽明海運,"1,471,529","1,480",994,-2.53,"1,149",0.62,,,,
電子零組件業,2415,錩新,"20,699",21,986,1.26,785,5.37,,,,
油電燃氣業,9918,欣天然,"168,663",171,986,1.27,"1,170",5.48,,,,
通信網路業,3311,閎暉,"142,623",145,984,-0.19,"1,123",2.93,,,,
電子零組件業,6449,鈺邦科技,"67,916",69,984,2.24,785,5.37,,,,
通信網路業,2314,台揚科技,"346,042",352,983,0.23,"1,123",2.93,,,,
建材營造,2520,冠德,"72,711",74,983,1.03,783,1.81,,,,
其他電子業,6192,巨路國際,"362,547",369,983,6.95,"1,179",7.41,,,,
光電業,3454,晶睿,"597,215",609,981,3.92,816,1.04,,,,
通信網路業,6674,鋐寶科技,"116,660",119,980,3.02,"1,123",2.93,,V,,"員工薪酬除衡量公司經營績效(如每股盈餘外),亦須配合內部整體經營目標及其員工績效表現,而本公司於107年底方上市掛牌,其薪酬結構尚待調整中。"
通信網路業,6152,百一電子,"189,172",193,980,-3.54,"1,123",2.93,,,,
鋼鐵工業,2014,中鴻,"1,102,575","1,126",979,2.11,"1,115",1.57,,V,,因本公司107年尚有累積虧損待彌補，故員工酬勞並非以全部盈餘計算，以致全時員工薪資平均數低於同業水準。
光電業,2409,友達,"22,758,055","23,247",979,1.06,816,1.04,,,,
金融保險業,2883,開發金,"6,217,584","6,366",977,0.54,"1,155",1.65,,,,
通信網路業,3062,建漢科技,"196,182",201,976,0.51,"1,123",2.93,,,,
橡膠工業,2103,台橡,"623,799",642,972,1.44,632,1.17,,,,
其他,9940,信義房屋,"3,493,987","3,613",967,2.04,780,3.69,,,,
紡織纖維,1439,中和羊毛,"11,594",12,966,-0.75,637,1.5,,,,
電機機械,1507,永大機電,"1,619,324","1,677",966,1.65,743,1.51,,,,
通信網路業,6216,居易,"187,297",194,965,2.28,"1,123",2.93,,,,
水泥工業,1101,台泥,"795,066",826,963,4.37,862,3.29,,,,
電腦及週邊設備業,3046,建碁,"93,405",97,963,-0.19,"1,200",2.73,,,,
